"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"6127",1,"HARLEM-UPPER             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2098,23,NA,"D1","605 WEST 151 STREET                      ","            ",10031,25,0,25," 7,494 "," 30,978 ",1920,2,"D1"," 7,650,000 ","6/1/2016",7650000,30978,7494,0
"6204",1,"HARLEM-UPPER             ","14  RENTALS - 4-10 UNIT                     ","2B",2059,151,NA,"S5","450 WEST 145 STREET                      ","            ",10031,6,1,7," 1,599 "," 3,388 ",1926,2,"S5"," 1,700,000 ","7/5/2016",1700000,3388,1599,0
"6233",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2B",1967,73,NA,"C5","6 CONVENT AVENUE                         ","            ",10027,10,0,10," 846 "," 1,850 ",1926,2,"C5"," 913,612 ","8/12/2016",913612,1850,846,0
"6234",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2A",1967,173,NA,"C2","8 CONVENT AVENUE                         ","            ",10027,6,0,6," 799 "," 1,850 ",1926,2,"C2"," 1,235,000 ","1/20/2016",1235000,1850,799,0
"6235",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1970,55,NA,"C1","102 CONVENT AVENUE                       ","34",10027,34,0,34," 7,150 "," 24,465 ",1901,2,"C1"," 11,000,000 ","5/26/2016",1.1e+07,24465,7150,0
"6236",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1982,69,NA,"C1","556 WEST 126 STREET                      ","            ",10027,18,0,18," 3,980 "," 16,266 ",1910,2,"C1"," 21,960,000 ","1/27/2016",21960000,16266,3980,0
"6238",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1982,73,NA,"C7","564 WEST 126 STREET                      ","            ",10027,20,5,25," 4,121 "," 19,255 ",1901,2,"C7"," 12,440,000 ","1/27/2016",12440000,19255,4121,0
"6239",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1988,25,NA,"C1","507 WEST 134 STREET                      ","20",10031,20,0,20," 3,922 "," 13,040 ",1905,2,"C1"," 6,060,000 ","6/16/2016",6060000,13040,3922,0
"6241",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1988,114,NA,"C1","508 WEST 136 STREET                      ","            ",10031,25,0,25," 3,747 "," 15,048 ",1905,2,"C1"," 6,725,000 ","9/30/2015",6725000,15048,3747,0
"6242",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",2001,38,NA,"C1","602-616 WEST 135 STREET                  ","            ",10031,187,0,187," 30,883 "," 106,456 ",1926,2,"C1"," 14,408,394 ","6/30/2016",14408394,106456,30883,0
"6243",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",2001,50,NA,"C1","618-622 WEST 135TH STREET                ","            ",10031,60,0,60," 11,580 "," 48,620 ",1926,2,"C1"," 6,976,401 ","6/30/2016",6976401,48620,11580,0
"6248",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",2002,26,NA,"C1","609 WEST 135 STREET                      ","            ",10031,21,0,21," 3,997 "," 14,260 ",1905,2,"C1"," 31,000,000 ","9/10/2015",3.1e+07,14260,3997,0
"6249",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",2002,79,NA,"C1","615 WEST 136TH STREET                    ","            ",10031,21,0,21," 5,396 "," 19,270 ",1908,2,"C1"," 7,750,000 ","6/23/2016",7750000,19270,5396,0
"6252",1,"HARLEM-WEST              ","07  RENTALS - WALKUP APARTMENTS             ","2",2071,57,NA,"C5","546 WEST 140TH STREET                    ","            ",10031,11,0,11," 1,632 "," 2,445 ",1920,2,"C5"," 2,200,000 ","9/2/2015",2200000,2445,1632,0
"6257",1,"HARLEM-WEST              ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2002,52,NA,"D1","606 WEST 137 STREET                      ","            ",10031,26,0,26," 6,495 "," 27,810 ",1905,2,"D1"," 7,900,000 ","1/19/2016",7900000,27810,6495,0
"6258",1,"HARLEM-WEST              ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2071,36,NA,"D6","1616 AMSTERDAM AVENUE                    ","            ",10031,52,6,58," 12,490 "," 58,810 ",1916,2,"D6"," 23,000,000 ","2/25/2016",2.3e+07,58810,12490,0
"6290",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2215,237,NA,"C1","104 TERRACE VIEW AVENUE                  ","            ",10463,12,0,12," 3,730 "," 10,690 ",1915,2,"C1"," 2,700,000 ","8/31/2016",2700000,10690,3730,0
"6291",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2218,8,NA,"C1","65 POST AVENUE                           ","            ",10034,43,0,43," 11,250 "," 29,990 ",1940,2,"C1"," 7,402,778 ","3/29/2016",7402778,29990,11250,0
"6292",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2218,14,NA,"C1","83 POST AVENUE                           ","            ",10034,20,0,20," 4,200 "," 14,490 ",1920,2,"C1"," 3,256,000 ","2/3/2016",3256000,14490,4200,0
"6293",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2224,5,NA,"C1","11 VERMILYEA AVENUE                      ","            ",10034,21,0,21," 7,500 "," 22,650 ",1922,2,"C1"," 4,530,000 ","10/14/2015",4530000,22650,7500,0
"6294",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2224,13,NA,"C1","25 VERMILYEA AVENUE                      ","            ",10034,30,0,30," 7,500 "," 23,650 ",1915,2,"C1"," 5,620,000 ","10/14/2015",5620000,23650,7500,0
"6295",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2224,31,NA,"C1","132 SHERMAN AVENUE                       ","            ",10034,22,0,22," 5,000 "," 17,390 ",1915,2,"C1"," 5,100,000 ","8/25/2016",5100000,17390,5000,0
"6296",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2226,13,NA,"C4","121 VERMILYEA AVENUE                     ","            ",10034,17,0,17," 3,750 "," 12,240 ",1910,2,"C4"," 2,750,000 ","11/5/2015",2750000,12240,3750,0
"6297",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2226,15,NA,"C4","125 VERMILYEA AVE                        ","            ",10034,17,0,17," 3,750 "," 12,224 ",1910,2,"C4"," 2,737,600 ","2/3/2016",2737600,12224,3750,0
"6298",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2227,11,NA,"C1","546 ISHAM STREET                         ","            ",10034,49,0,49," 10,000 "," 37,700 ",1928,2,"C1"," 9,400,000 ","8/16/2016",9400000,37700,10000,0
"6299",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2227,21,NA,"C1","250-252 SHERMAN AVENUE                   ","            ",10034,20,0,20," 5,000 "," 17,350 ",1913,2,"C1"," 3,500,000 ","8/23/2016",3500000,17350,5000,0
"6300",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2230,27,NA,"C1","509 WEST 212 STREET                      ","            ",10034,44,0,44," 9,992 "," 37,940 ",1922,2,"C1"," 7,085,544 ","3/23/2016",7085544,37940,9992,0
"6301",1,"INWOOD                   ","07  RENTALS - WALKUP APARTMENTS             ","2",2234,40,NA,"C1","54 VERMILYEA AVE                         ","            ",10034,21,0,21," 5,000 "," 19,137 ",1917,2,"C1"," 3,398,400 ","2/3/2016",3398400,19137,5000,0
"6395",1,"JAVITS CENTER            ","07  RENTALS - WALKUP APARTMENTS             ","2",733,45,NA,"C7","412 WEST 36TH   STREET                   ","            ",10018,13,1,14," 2,468 "," 10,500 ",1920,2,"C7"," 11,500,000 ","10/21/2015",11500000,10500,2468,0
"6396",1,"JAVITS CENTER            ","07  RENTALS - WALKUP APARTMENTS             ","2",734,5,NA,"C4","453 WEST 36TH   STREET                   ","            ",10018,24,0,24," 2,465 "," 12,449 ",1900,2,"C4"," 1,876,000 ","8/30/2016",1876000,12449,2465,0
"6397",1,"JAVITS CENTER            ","07  RENTALS - WALKUP APARTMENTS             ","2",734,5,NA,"C4","453 WEST 36TH   STREET                   ","            ",10018,24,0,24," 2,465 "," 12,449 ",1900,2,"C4"," 469,000 ","8/30/2016",469000,12449,2465,0
"6398",1,"JAVITS CENTER            ","07  RENTALS - WALKUP APARTMENTS             ","2",735,58,NA,"C4","434 WEST 38TH   STREET                   ","            ",10018,12,0,12," 2,770 "," 7,175 ",1910,2,"C4"," 1,260,000 ","8/30/2016",1260000,7175,2770,0
"6427",1,"JAVITS CENTER            ","14  RENTALS - 4-10 UNIT                     ","2A",737,36,NA,"S3","533 9 AVENUE                             ","            ",10018,3,1,4," 1,300 "," 4,000 ",1900,2,"S3"," 5,700,000 ","6/2/2016",5700000,4000,1300,0
"6462",1,"KIPS BAY                 ","07  RENTALS - WALKUP APARTMENTS             ","2",923,47,NA,"C4","332 EAST 18TH   STREET                   ","            ",10003,24,0,24," 3,680 "," 16,680 ",1910,2,"C4"," 14,625,000 ","2/16/2016",14625000,16680,3680,0
"6464",1,"KIPS BAY                 ","07  RENTALS - WALKUP APARTMENTS             ","2A",924,55,NA,"C2","320 EAST 19TH   STREET                   ","            ",10003,6,0,6," 1,924 "," 4,268 ",1930,2,"C2"," 5,000,000 ","3/4/2016",5e+06,4268,1924,0
"6465",1,"KIPS BAY                 ","07  RENTALS - WALKUP APARTMENTS             ","2",928,23,NA,"C4","341 EAST 22ND STREET                     ","            ",10010,11,0,11," 1,775 "," 6,295 ",1901,2,"C4"," 6,270,000 ","5/5/2016",6270000,6295,1775,0
"6466",1,"KIPS BAY                 ","07  RENTALS - WALKUP APARTMENTS             ","2B",928,24,NA,"C7","377 1 AVENUE                             ","            ",10010,8,2,10," 1,839 "," 6,183 ",1910,2,"C7"," 6,000,000 ","10/23/2015",6e+06,6183,1839,0
"6467",1,"KIPS BAY                 ","07  RENTALS - WALKUP APARTMENTS             ","2",928,26,NA,"C7","383 1 AVENUE                             ","            ",10010,36,3,39," 9,379 "," 26,769 ",1901,2,"C7"," 18,500,000 ","9/11/2015",18500000,26769,9379,0
"6469",1,"KIPS BAY                 ","07  RENTALS - WALKUP APARTMENTS             ","2B",939,24,NA,"C4","339 EAST 33RD STREET                     ","            ",10016,7,0,7," 1,975 "," 3,980 ",1901,2,"C4"," 9,200,000 ","3/31/2016",9200000,3980,1975,0
"6471",1,"KIPS BAY                 ","07  RENTALS - WALKUP APARTMENTS             ","2B",939,26,NA,"C7","343 EAST 33 STREET                       ","            ",10016,9,1,10," 2,469 "," 4,976 ",1901,2,"C7"," 5,900,000 ","9/10/2015",5900000,4976,2469,0
"6472",1,"KIPS BAY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2",927,38,NA,"D9","320 EAST 22ND   STREET                   ","            ",10010,94,0,94," 15,112 "," 67,048 ",1948,2,"D9"," 87,500,000 ","3/3/2016",87500000,67048,15112,0
"6473",1,"KIPS BAY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2",935,53,NA,"D9","312-316 EAST 30TH STREET                 ","            ",10016,67,0,67," 6,164 "," 47,820 ",1986,2,"D9"," 50,956,406 ","9/10/2015",50956406,47820,6164,0
"6477",1,"KIPS BAY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2",972,1,NA,"D7","240 1 AVENUE                             ","            ",10009,8759,46,8805," 2,675,000 "," 8,942,176 ",1945,2,"D7"," 4,111,111,766 ","12/18/2015",4111111766,8942176,2675000,0
"6478",1,"KIPS BAY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2",978,1,NA,"D6","342 1 AVENUE                             ","            ",10009,2491,7,2498," 828,650 "," 3,122,165 ",1947,2,"D6"," 1,345,485,019 ","12/18/2015",1345485019,3122165,828650,0
"6761",1,"LITTLE ITALY             ","07  RENTALS - WALKUP APARTMENTS             ","2B",493,16,NA,"C5","24 PRINCE STREET                         ","            ",10012,8,0,8," 2,470 "," 7,987 ",1900,2,"C5"," 13,750,000 ","4/18/2016",13750000,7987,2470,0
"6763",1,"LITTLE ITALY             ","07  RENTALS - WALKUP APARTMENTS             ","2",508,42,NA,"C7","239 ELIZABETH STREET                     ","            ",10012,10,1,11," 1,805 "," 7,670 ",1914,2,"C7"," 7,000,000 ","8/9/2016",7e+06,7670,1805,0
"6764",1,"LITTLE ITALY             ","07  RENTALS - WALKUP APARTMENTS             ","2B",508,43,NA,"C7","237 ELIZABETH STREET                     ","            ",10012,7,1,8," 1,828 "," 5,312 ",1910,2,"C7"," 7,250,000 ","7/11/2016",7250000,5312,1828,0
"6793",1,"LITTLE ITALY             ","14  RENTALS - 4-10 UNIT                     ","2A",478,17,NA,"S4","174 ELIZABETH STREET                     ","            ",10012,4,1,5," 940 "," 2,660 ",1900,2,"S4"," 2,100,000 ","3/29/2016",2100000,2660,940,0
"6794",1,"LITTLE ITALY             ","14  RENTALS - 4-10 UNIT                     ","2A",493,11,NA,"S5","232 MOTT STREET                          ","            ",10012,5,1,6," 2,175 "," 7,598 ",2006,2,"S5"," 14,730,000 ","12/17/2015",14730000,7598,2175,0
"6825",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2",274,13,NA,"C4","73 MONROE ST                             ","            ",10002,16,0,16," 2,500 "," 9,660 ",1910,2,"C4"," 3,100,000 ","10/30/2015",3100000,9660,2500,0
"6826",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2",274,38,NA,"C7","42 MARKET STREET                         ","            ",10002,18,5,23," 2,185 "," 9,265 ",1910,2,"C7"," 4,600,000 ","3/24/2016",4600000,9265,2185,0
"6829",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2B",283,66,NA,"C7","150 EAST BROADWAY                        ","            ",10002,7,2,9," 1,544 "," 6,225 ",1910,2,"C7"," 4,450,000 ","1/22/2016",4450000,6225,1544,0
"6830",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2",283,72,NA,"C7","162 EAST BROADWAY                        ","            ",10002,10,1,11," 1,140 "," 5,572 ",1900,2,"C7"," 6,600,000 ","12/29/2015",6600000,5572,1140,0
"6831",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2",349,29,NA,"C7","69 CLINTON STREET                        ","            ",10002,16,2,18," 1,490 "," 6,705 ",1920,2,"C7"," 8,800,000 ","6/24/2016",8800000,6705,1490,0
"6832",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2A",355,51,NA,"C3","249 EAST HOUSTON STREET                  ","            ",10002,4,0,4," 1,406 "," 2,799 ",1900,2,"C3"," 4,200,000 ","9/10/2015",4200000,2799,1406,0
"6834",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2",408,11,NA,"C7","249 BROOME STREET                        ","            ",10002,22,2,24," 3,630 "," 19,053 ",1920,2,"C7"," 12,300,000 ","10/14/2015",12300000,19053,3630,0
"6836",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2",411,64,NA,"C7","139 ESSEX STREET                         ","            ",10002,16,2,18," 2,250 "," 9,150 ",1900,2,"C7"," 15,500,000 ","4/22/2016",15500000,9150,2250,0
"6838",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2",418,32,NA,"C7","100 FORSYTH STREET                       ","            ",10002,18,2,20," 2,525 "," 9,450 ",1900,2,"C7"," 16,000,000 ","12/18/2015",1.6e+07,9450,2525,0
"6845",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2",426,25,NA,"C7","19 STANTON STREET                        ","            ",10002,13,1,14," 1,667 "," 9,967 ",1900,2,"C7"," 12,000,000 ","9/16/2015",1.2e+07,9967,1667,0
"6846",1,"LOWER EAST SIDE          ","07  RENTALS - WALKUP APARTMENTS             ","2",426,34,NA,"C7","187 CHRYSTIE STREET                      ","            ",10002,15,2,17," 2,483 "," 8,540 ",1900,2,"C7"," 8,000,000 ","4/6/2016",8e+06,8540,2483,0
"6849",1,"LOWER EAST SIDE          ","08  RENTALS - ELEVATOR APARTMENTS           ","2",353,69,NA,"D9","99 SUFFOLK STREET                        ","            ",10002,35,1,36," 7,531 "," 26,600 ",2001,2,"D9"," 24,550,000 ","4/1/2016",24550000,26600,7531,0
"6850",1,"LOWER EAST SIDE          ","08  RENTALS - ELEVATOR APARTMENTS           ","2",354,22,NA,"D1","151 NORFOLK STREET                       ","            ",10002,35,0,35," 5,000 "," 22,404 ",1912,2,"D1"," 12,000,000 ","6/15/2016",1.2e+07,22404,5000,0
"7122",1,"MANHATTAN VALLEY         ","07  RENTALS - WALKUP APARTMENTS             ","2",1841,54,NA,"C4","54 WEST 106TH STREET                     ","            ",10025,20,0,20," 2,523 "," 9,980 ",1900,2,"C4"," 950,000 ","1/12/2016",950000,9980,2523,0
"7123",1,"MANHATTAN VALLEY         ","07  RENTALS - WALKUP APARTMENTS             ","2",1841,54,NA,"C4","54 WEST 106TH STREET                     ","            ",10025,20,0,20," 2,523 "," 9,980 ",1900,2,"C4"," 950,000 ","1/12/2016",950000,9980,2523,0
"7124",1,"MANHATTAN VALLEY         ","07  RENTALS - WALKUP APARTMENTS             ","2",1843,29,NA,"C5","471 CENTRAL PARK WEST                    ","            ",10025,37,0,37," 4,092 "," 17,625 ",1941,2,"C5"," 65,000,000 ","2/1/2016",6.5e+07,17625,4092,0
"7132",1,"MANHATTAN VALLEY         ","07  RENTALS - WALKUP APARTMENTS             ","2B",1847,29,NA,"C5","308 WEST 113TH STREET                    ","            ",10026,8,0,8," 1,682 "," 3,332 ",1900,2,"C5"," 8,000,000 ","5/24/2016",8e+06,3332,1682,0
"7135",1,"MANHATTAN VALLEY         ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1838,21,NA,"D1","50 MANHATTAN AVENUE                      ","            ",10025,49,0,49," 9,587 "," 42,783 ",1925,2,"D1"," 25,800,000 ","7/6/2016",25800000,42783,9587,0
"7341",1,"MIDTOWN CBD              ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1302,33,NA,"D7","760 3 AVENUE                             ","            ",10017,299,11,310," 29,120 "," 297,703 ",1929,2,"D7"," 270,000,000 ","3/3/2016",2.7e+08,297703,29120,0
"7599",1,"MIDTOWN EAST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1325,35,NA,"C4","240 EAST 52ND   STREET                   ","            ",10022,15,0,15," 2,511 "," 9,090 ",1900,2,"C4"," 10,500,000 ","4/6/2016",10500000,9090,2511,0
"7600",1,"MIDTOWN EAST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1332,36,NA,"C7","224 EAST 59TH   STREET                   ","            ",10022,16,1,17," 2,862 "," 11,827 ",1904,2,"C7"," 11,400,000 ","5/10/2016",11400000,11827,2862,0
"7601",1,"MIDTOWN EAST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1341,40,NA,"C7","320 EAST 49TH   STREET                   ","            ",10017,37,3,40," 5,725 "," 23,785 ",1930,2,"C7"," 7,161,000 ","12/18/2015",7161000,23785,5725,0
"7602",1,"MIDTOWN EAST             ","07  RENTALS - WALKUP APARTMENTS             ","2B",1341,149,NA,"C7","304 EAST 49TH   STREET                   ","            ",10017,8,2,10," 1,256 "," 4,500 ",1900,2,"C7"," 5,200,000 ","9/10/2015",5200000,4500,1256,0
"7603",1,"MIDTOWN EAST             ","07  RENTALS - WALKUP APARTMENTS             ","2B",1343,31,NA,"C5","352 EAST 51ST   STREET                   ","            ",10022,8,1,9," 2,008 "," 5,812 ",1920,2,"C5"," 4,700,000 ","11/24/2015",4700000,5812,2008,0
"7604",1,"MIDTOWN EAST             ","07  RENTALS - WALKUP APARTMENTS             ","2B",1345,122,NA,"C7","349 EAST 52ND   STREET                   ","            ",10022,8,1,9," 2,008 "," 6,400 ",1910,2,"C7"," 6,525,000 ","11/18/2015",6525000,6400,2008,0
"7608",1,"MIDTOWN EAST             ","07  RENTALS - WALKUP APARTMENTS             ","2B",1351,13,NA,"C4","329 EAST 58TH   STREET                   ","            ",10022,10,0,10," 2,360 "," 7,050 ",1900,2,"C4"," 4,500,000 ","9/24/2015",4500000,7050,2360,0
"7611",1,"MIDTOWN EAST             ","07  RENTALS - WALKUP APARTMENTS             ","2B",1351,22,NA,"C4","351 EAST 58TH STREET                     ","            ",10022,10,0,10," 2,008 "," 6,075 ",1900,2,"C4"," 16,100,000 ","10/5/2015",16100000,6075,2008,0
"7614",1,"MIDTOWN EAST             ","08  RENTALS - ELEVATOR APARTMENTS           ","2B",1322,30,NA,"D6","248 EAST 49TH STREET                     ","            ",10017,8,1,9," 1,908 "," 9,614 ",1900,2,"D6"," 10,350,000 ","5/2/2016",10350000,9614,1908,0
"7615",1,"MIDTOWN EAST             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1323,30,NA,"D7","242 EAST 50TH   STREET                   ","            ",10022,24,1,25," 5,021 "," 21,150 ",1900,2,"D7"," 9,875,000 ","12/21/2015",9875000,21150,5021,0
"7617",1,"MIDTOWN EAST             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1365,9,NA,"D7","420 EAST 54TH   STREET                   ","            ",10022,323,2,325," 28,308 "," 413,233 ",1982,2,"D7"," 390,000,000 ","1/28/2016",3.9e+08,413233,28308,0
"8780",1,"MIDTOWN EAST             ","14  RENTALS - 4-10 UNIT                     ","2A",1324,24,NA,"S3","947 SECOND AVENUE                        ","            ",10022,3,1,4," 1,400 "," 4,155 ",1920,2,"S3"," 8,500,000 ","12/2/2015",8500000,4155,1400,0
"8781",1,"MIDTOWN EAST             ","14  RENTALS - 4-10 UNIT                     ","2A",1326,36,NA,"S9","230 EAST 53RD   STREET                   ","            ",10022,2,2,4," 2,008 "," 3,680 ",1926,2,"S9"," 5,850,000 ","3/15/2016",5850000,3680,2008,0
"8985",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1018,54,NA,"C7","250 WEST 47TH STREET                     ","            ",10036,12,1,13," 2,510 "," 9,175 ",1910,2,"C7"," 7,788,753 ","11/13/2015",7788753,9175,2510,0
"8986",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1035,6,NA,"C4","351 WEST 44TH   STREET                   ","            ",10036,79,0,79," 2,711 "," 10,540 ",1920,2,"C4"," 8,750,000 ","10/29/2015",8750000,10540,2711,0
"8987",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1035,60,NA,"C5","360 WEST 45TH   STREET                   ","            ",10036,76,0,76," 2,962 "," 11,700 ",1930,2,"C5"," 8,750,000 ","10/29/2015",8750000,11700,2962,0
"8989",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,40,NA,"C4","308 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 10,500 ",1920,2,"C4"," 6,500,000 ","7/28/2016",6500000,10500,2510,0
"8990",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,41,NA,"C4","310 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 10,500 ",1920,2,"C4"," 6,000,000 ","7/28/2016",6e+06,10500,2510,0
"8991",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,45,NA,"C4","318 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 9,545 ",1920,2,"C4"," 8,250,000 ","7/28/2016",8250000,9545,2510,0
"8992",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,46,NA,"C4","320 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 9,545 ",1920,2,"C4"," 9,000,000 ","7/28/2016",9e+06,9545,2510,0
"8993",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,47,NA,"C7","322 WEST 49TH   STREET                   ","            ",10019,17,2,19," 2,510 "," 9,545 ",1920,2,"C7"," 9,200,000 ","7/28/2016",9200000,9545,2510,0
"8994",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,48,NA,"C7","324 WEST 49TH   STREET                   ","            ",10019,18,2,20," 2,510 "," 9,545 ",1920,2,"C7"," 8,800,000 ","7/28/2016",8800000,9545,2510,0
"8995",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,49,NA,"C4","326 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 9,695 ",1920,2,"C4"," 9,500,000 ","7/28/2016",9500000,9695,2510,0
"8996",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,50,NA,"C4","328 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 9,695 ",1920,2,"C4"," 8,000,000 ","7/28/2016",8e+06,9695,2510,0
"8997",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,51,NA,"C4","330 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 9,695 ",1920,2,"C4"," 8,250,000 ","7/28/2016",8250000,9695,2510,0
"8998",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,52,NA,"C4","332 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 9,695 ",1920,2,"C4"," 8,750,000 ","7/28/2016",8750000,9695,2510,0
"8999",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,53,NA,"C4","334 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 9,695 ",1920,2,"C4"," 6,600,000 ","7/28/2016",6600000,9695,2510,0
"9000",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,53,NA,"C4","334 WEST 49TH STREET                     ","            ",10019,20,0,20," 2,510 "," 9,695 ",1920,2,"C4"," 5,000,000 ","4/1/2016",5e+06,9695,2510,0
"9001",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,54,NA,"C4","336 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 9,695 ",1920,2,"C4"," 6,000,000 ","7/28/2016",6e+06,9695,2510,0
"9002",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,55,NA,"C4","338 WEST 49TH   STREET                   ","            ",10019,20,0,20," 2,510 "," 9,695 ",1920,2,"C4"," 6,750,000 ","7/28/2016",6750000,9695,2510,0
"9003",1,"MIDTOWN WEST             ","07  RENTALS - WALKUP APARTMENTS             ","2",1039,56,NA,"C7","340 WEST 49TH   STREET                   ","            ",10019,17,2,19," 2,510 "," 9,696 ",1920,2,"C7"," 8,400,000 ","7/28/2016",8400000,9696,2510,0
"9005",1,"MIDTOWN WEST             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1010,46,NA,"D7","134 WEST 58TH   STREET                   ","            ",10019,120,1,121," 5,306 "," 61,791 ",1930,2,"D7"," 61,500,000 ","7/26/2016",61500000,61791,5306,0
"13703",1,"MORNINGSIDE HEIGHTS      ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1963,9,NA,"D3","415 WEST 120 STREET                      ","            ",10027,50,0,50," 7,569 "," 32,295 ",1910,2,"D3"," 19,000,000 ","1/28/2016",1.9e+07,32295,7569,0
